"AUD.Open" "AUD.High" "AUD.Low" "AUD.Close" "AUD.Volume" "AUD.Adjusted"
"2012-09-18" 29.82 29.82 29.82 29.82 0 29.82
"2012-09-19" 29.82 29.82 29.82 29.82 0 29.82
"2012-09-20" 29.82 29.82 29.82 29.82 0 29.82
"2012-09-21" 29.82 29.82 29.82 29.82 0 29.82
"2012-09-24" 29.82 29.82 29.82 29.82 0 29.82
"2012-09-25" 25.945 25.945 25.945 25.945 0 25.945
"2012-09-26" 25.54 25.54 25.54 25.54 0 25.54
"2012-09-27" 25.285 25.285 25.285 25.285 0 25.285
"2012-09-28" 25.725 25.725 25.725 25.725 0 25.725
"2012-10-01" 26.02 26.02 26.02 26.02 0 26.02
"2012-10-02" 25.79 25.79 25.79 25.79 0 25.79
"2012-10-03" 25.77 25.77 25.77 25.77 0 25.77
"2012-10-04" 26.24 26.24 26.24 26.24 0 26.24
"2012-10-05" 25.445 25.445 25.445 25.445 0 25.445
"2012-10-08" 25.37 25.37 25.37 25.37 0 25.37
"2012-10-09" 24.95 24.95 24.95 24.95 0 24.95
"2012-10-10" 24.37 24.37 24.37 24.37 0 24.37
"2012-10-11" 24.06 24.06 24.06 24.06 0 24.06
"2012-10-12" 24.015 24.015 24.015 24.015 0 24.015
"2012-10-15" 24.095 24.095 24.095 24.095 0 24.095
"2012-10-16" 24.54 24.54 24.54 24.54 0 24.54
"2012-10-17" 24.855 24.855 24.855 24.855 0 24.855
"2012-10-18" 24.5 24.5 24.5 24.5 0 24.5
"2012-10-19" 24.085 24.085 24.085 24.085 0 24.085
"2012-10-22" 23.335 23.335 23.335 23.335 0 23.335
"2012-10-23" 23.6 23.6 23.6 23.6 0 23.6
"2012-10-24" 24.18 24.18 24.18 24.18 0 24.18
"2012-10-25" 24.34 24.34 24.34 24.34 0 24.34
"2012-10-26" 24.34 24.34 24.34 24.34 0 24.34
"2012-10-29" 24.795 24.795 24.795 24.795 0 24.795
"2012-10-30" 24.775 24.775 24.775 24.775 0 24.775
"2012-10-31" 24.97 24.97 24.97 24.97 0 24.97
"2012-11-01" 24.425 24.425 24.425 24.425 0 24.425
"2012-11-02" 24.99 24.99 24.99 24.99 0 24.99
"2012-11-05" 25.01 25.01 25.01 25.01 0 25.01
"2012-11-06" 24.965 24.965 24.965 24.965 0 24.965
"2012-11-07" 25.135 25.135 25.135 25.135 0 25.135
"2012-11-08" 24.72 24.72 24.72 24.72 0 24.72
"2012-11-09" 24.255 24.255 24.255 24.255 0 24.255
"2012-11-12" 24.3 24.3 24.3 24.3 0 24.3
"2012-11-13" 24.21 24.21 24.21 24.21 0 24.21
"2012-11-14" 24.19 24.19 24.19 24.19 0 24.19
"2012-11-15" 23.88 23.88 23.88 23.88 0 23.88
"2012-11-16" 24.36 24.36 24.36 24.36 0 24.36
"2012-11-19" 24.79 24.79 24.79 24.79 0 24.79
"2012-11-20" 24.365 24.365 24.365 24.365 0 24.365
"2012-11-21" 24.04 24.04 24.04 24.04 0 24.04
"2012-11-22" 24.395 24.395 24.395 24.395 0 24.395
"2012-11-23" 24.355 24.355 24.355 24.355 0 24.355
"2012-11-26" 24.29 24.29 24.29 24.29 0 24.29
"2012-11-27" 24.81 24.81 24.81 24.81 0 24.81
"2012-11-28" 24.58 24.58 24.58 24.58 0 24.58
"2012-11-29" 25.56 25.56 25.56 25.56 0 25.56
"2012-11-30" 25.705 25.705 25.705 25.705 0 25.705
"2012-12-03" 25.515 25.515 25.515 25.515 0 25.515
"2012-12-04" 25.145 25.145 25.145 25.145 0 25.145
"2012-12-05" 25.26 25.26 25.26 25.26 0 25.26
"2012-12-06" 25.6 25.6 25.6 25.6 0 25.6
"2012-12-07" 26.015 26.015 26.015 26.015 0 26.015
"2012-12-10" 26.085 26.085 26.085 26.085 0 26.085
"2012-12-11" 26.135 26.135 26.135 26.135 0 26.135
"2012-12-12" 26.585 26.585 26.585 26.585 0 26.585
"2012-12-13" 26.13 26.13 26.13 26.13 0 26.13
"2012-12-14" 25.835 25.835 25.835 25.835 0 25.835
"2012-12-17" 25.995 25.995 25.995 25.995 0 25.995
"2012-12-18" 26.565 26.565 26.565 26.565 0 26.565
"2012-12-19" 26.93 26.93 26.93 26.93 0 26.93
"2012-12-20" 27.1 27.1 27.1 27.1 0 27.1
"2012-12-21" 27.1 27.1 27.1 27.1 0 27.1
"2012-12-24" 27.1 27.1 27.1 27.1 0 27.1
"2012-12-25" 27.1 27.1 27.1 27.1 0 27.1
"2012-12-26" 27.1 27.1 27.1 27.1 0 27.1
"2012-12-27" 26.46 26.46 26.46 26.46 0 26.46
"2012-12-28" 26.41 26.41 26.41 26.41 0 26.41
"2012-12-31" 26.41 26.41 26.41 26.41 0 26.41
"2013-01-01" 26.41 26.41 26.41 26.41 0 26.41
"2013-01-02" 26.555 26.555 26.555 26.555 0 26.555
"2013-01-03" 27.945 27.945 27.945 27.945 0 27.945
"2013-01-04" 27.84 27.84 27.84 27.84 0 27.84
"2013-01-07" 27.785 27.785 27.785 27.785 0 27.785
"2013-01-08" 27.355 27.355 27.355 27.355 0 27.355
"2013-01-09" 27.705 27.705 27.705 27.705 0 27.705
"2013-01-10" 28.075 28.075 28.075 28.075 0 28.075
"2013-01-11" 27.46 27.46 27.46 27.46 0 27.46
"2013-01-14" 27.45 27.45 27.45 27.45 0 27.45
"2013-01-15" 27.46 27.46 27.46 27.46 0 27.46
"2013-01-16" 27.505 27.505 27.505 27.505 0 27.505
"2013-01-17" 27.52 27.52 27.52 27.52 0 27.52
"2013-01-18" 27.83 27.83 27.83 27.83 0 27.83
"2013-01-21" 28.05 28.05 28.05 28.05 0 28.05
"2013-01-22" 28 28 28 28 0 28
"2013-01-23" 28 28 28 28 0 28
