"GSPTSE.Open" "GSPTSE.High" "GSPTSE.Low" "GSPTSE.Close" "GSPTSE.Volume" "GSPTSE.Adjusted"
"2007-06-01" 14084.5 14151.400391 14056.799805 14119.400391 242379000 14119.400391
"2007-06-04" 14044.400391 14146.700195 14009 14146.700195 258584600 14146.700195
"2007-06-05" 14133.099609 14170.299805 14108.599609 14141.700195 234029100 14141.700195
"2007-06-06" 14094.599609 14141.700195 13914.599609 13941.599609 240053900 13941.599609
"2007-06-07" 13924.200195 13964.5 13700.599609 13703.900391 254420600 13703.900391
"2007-06-08" 13650.099609 13809.400391 13650.799805 13798.5 206591000 13798.5
"2007-06-11" 13826.299805 13893.799805 13798.5 13832.799805 159244900 13832.799805
"2007-06-12" 13775.700195 13852.099609 13721.700195 13724.299805 199447700 13724.299805
"2007-06-13" 13774 13862.5 13724.299805 13859.5 196390100 13859.5
"2007-06-14" 13864.400391 14003.099609 13859.5 14002 225142200 14002
"2007-06-15" 14017.400391 14146.099609 14002 14137.400391 309281800 14137.400391
"2007-06-18" 14155.5 14209.400391 14137.400391 14176.400391 214144700 14176.400391
"2007-06-19" 14161 14176.400391 14080.900391 14119.5 217825100 14119.5
"2007-06-20" 14139.200195 14174.099609 13978.200195 13978.200195 204065400 13978.200195
"2007-06-21" 14041.799805 14107.299805 13941.599609 14095.700195 186210700 14095.700195
"2007-06-22" 14076.900391 14095.700195 13913.900391 13986 159963300 13986
"2007-06-25" 13931.900391 13988.900391 13838.799805 13841.900391 194151800 13841.900391
"2007-06-26" 13861.5 13882.400391 13646.799805 13663.900391 254975900 13663.900391
"2007-06-27" 13618.400391 13741.900391 13535.299805 13741.900391 231437300 13741.900391
"2007-06-28" 13784.599609 13824.200195 13709 13715.700195 267820800 13715.700195
"2007-06-29" 13843.700195 13906.599609 13715.700195 13906.599609 218875500 13906.599609
"2007-07-02" 13906.599609 13906.599609 13906.599609 13906.599609 0 13906.599609
"2007-07-03" 14001.400391 14064.700195 13906.599609 14064.700195 210753200 14064.700195
"2007-07-04" 14050.200195 14092 14039.799805 14060.400391 88821900 14060.400391
"2007-07-05" 14093.200195 14093.700195 13952.700195 14079.400391 228641300 14079.400391
"2007-07-06" 14056 14128.400391 14034.799805 14118.700195 198628700 14118.700195
"2007-07-09" 14159.400391 14211.299805 14118.700195 14177.5 202979300 14177.5
"2007-07-10" 14156.799805 14207.099609 14131.900391 14131.900391 195335800 14131.900391
"2007-07-11" 14126.400391 14171.700195 14087.099609 14166.099609 207098300 14166.099609
"2007-07-12" 14210.799805 14356 14166.099609 14356 293548000 14356
"2007-07-13" 14370 14496.5 14356 14496.5 190352800 14496.5
"2007-07-16" 14460.5 14496.5 14309.5 14338.299805 232943800 14338.299805
"2007-07-17" 14370.900391 14428.599609 14338.299805 14382 212657800 14382
"2007-07-18" 14369.200195 14583.700195 14354.599609 14583.700195 264110700 14583.700195
"2007-07-19" 14584.599609 14646.799805 14558.799805 14625.799805 211897800 14625.799805
"2007-07-20" 14607.299805 14633.799805 14553.400391 14582.900391 191945700 14582.900391
"2007-07-23" 14542.599609 14582.900391 14429.200195 14468.299805 163201000 14468.299805
"2007-07-24" 14365.400391 14468.299805 14065 14068.200195 228169600 14068.200195
"2007-07-25" 14116.700195 14205.900391 13949.900391 14105.299805 228080100 14105.299805
"2007-07-26" 14027.299805 14105.299805 13705 13844.599609 259855900 13844.599609
"2007-07-27" 13813.5 13959.099609 13730 13748.5 208563300 13748.5
"2007-07-30" 13838.700195 13881.299805 13748.5 13864.700195 197170400 13864.700195
"2007-07-31" 13990.700195 14029.099609 13864.299805 13868.599609 259323900 13868.599609
"2007-08-01" 13751.799805 13868.599609 13527.400391 13654.700195 236569800 13654.700195
"2007-08-02" 13768.599609 13813.599609 13654.700195 13813.599609 195141900 13813.599609
"2007-08-03" 13804.900391 13813.599609 13565.200195 13565.200195 227232700 13565.200195
"2007-08-06" 13565.200195 13565.200195 13565.200195 13565.200195 0 13565.200195
"2007-08-07" 13570.400391 13627.900391 13450.700195 13560.599609 238428500 13560.599609
