"EUR.Open" "EUR.High" "EUR.Low" "EUR.Close" "EUR.Volume" "EUR.Adjusted"
"2012-06-06" 39.8 42 39.67 40.99 665800 38.75
"2012-06-07" 40.99 40.99 40.99 40.99 0 38.75
"2012-06-08" 40.8 44 40.79 43 139600 40.65
"2012-06-11" 43.81 45 43.12 43.8 102000 41.4
"2012-06-12" 43.34 43.9 41.98 42.5 132900 40.18
"2012-06-13" 42.5 42.5 41.33 41.7 126100 39.42
"2012-06-14" 41.05 41.7 40.55 41.25 117300 38.99
"2012-06-15" 41 41.16 40.01 40.7 141400 38.47
"2012-06-18" 40.51 41.15 40.51 40.7 52900 38.47
"2012-06-19" 40.8 42.6 40.1 40.7 174700 38.47
"2012-06-20" 40.19 41.72 40.19 41.36 345400 39.1
"2012-06-21" 41.32 42.7 40.73 42 82100 39.7
"2012-06-22" 41.77 43.5 40.75 40.8 32000 38.57
"2012-06-25" 41 41.93 40.2 40.6 202800 38.38
"2012-06-26" 40.6 40.75 40.2 40.4 47400 38.19
"2012-06-27" 40.6 40.6 39.35 39.35 135500 37.33
"2012-06-28" 39.3 40.1 38.55 38.7 169400 36.72
"2012-06-29" 39.49 41 39.1 41 156200 38.9
"2012-07-02" 42.84 42.84 41.06 42.49 33000 40.31
"2012-07-03" 42.49 43.13 40.11 42.94 321700 40.74
"2012-07-04" 42.5 42.5 41.09 41.3 201600 39.18
"2012-07-05" 41.3 42.58 40.75 41.2 173000 39.09
"2012-07-06" 41 41.3 40.3 40.94 247700 38.84
"2012-07-09" 41.5 41.98 39.45 40.15 62100 38.09
"2012-07-10" 40 40 39 39.2 413400 37.19
"2012-07-11" 39.1 40.69 39 40.5 169100 38.42
"2012-07-12" 40.04 41.5 39.76 41 242800 38.9
"2012-07-13" 41 41.5 40.8 41.12 820700 39.01
"2012-07-16" 41.45 41.45 41.12 41.21 44700 39.1
"2012-07-17" 41 41.5 40.8 41 51900 38.9
"2012-07-18" 40.8 40.8 39.91 39.94 47000 37.89
"2012-07-19" 41.2 41.2 39.25 40.5 162900 38.42
"2012-07-20" 40.48 40.48 39.61 40.2 346500 38.14
"2012-07-23" 40.2 40.2 38.11 38.7 85400 36.72
"2012-07-24" 39.48 39.95 39.06 39.8 100900 37.76
"2012-07-25" 40 40.4 39.5 40 260500 37.95
"2012-07-26" 40.2 40.5 40 40 149400 37.95
"2012-07-27" 40.68 41 39.52 40.18 250500 38.12
"2012-07-30" 40 41 39.06 39.06 240300 37.06
"2012-07-31" 39 39.55 38.12 39.2 117700 37.19
"2012-08-01" 38.94 38.99 37.4 38.35 211500 36.38
"2012-08-02" 37.95 39.8 37.9 38.7 82200 36.72
"2012-08-03" 38.75 38.75 36.59 38 216600 36.05
"2012-08-06" 37.8 39.6 37.8 38.5 54500 36.53
"2012-08-07" 38.75 39 38.23 38.5 147800 36.53
"2012-08-08" 38.59 38.6 37.43 38.07 141800 36.12
"2012-08-09" 37.7 38 37.37 37.4 18800 35.48
"2012-08-10" 37.2 38.6 37.2 38.5 76700 36.53
"2012-08-13" 38 39.5 37.9 39 122300 37
"2012-08-14" 39 41 39 40 150300 37.95
"2012-08-15" 40 40 40 40 0 37.95
"2012-08-16" 40.2 41.6 40.2 41.6 280200 39.47
"2012-08-17" 41.78 42 41.37 41.99 422600 39.84
"2012-08-20" 42 42.49 42 42.31 101100 40.14
"2012-08-21" 42.49 43.77 42 43.25 140900 41.03
"2012-08-22" 43 43.93 42.85 43.9 94600 41.65
"2012-08-23" 43.93 46.2 43.35 45.6 161600 43.26
"2012-08-24" 45.7 46 43.79 44 192000 41.74
"2012-08-27" 43.11 44.87 43.11 43.35 136600 41.13
"2012-08-28" 44.19 44.49 43 43 156700 40.79
"2012-08-29" 39.9 39.9 38.6 38.75 1899400 36.76
"2012-08-30" 38.7 39.5 38.5 39.2 479000 37.19
"2012-08-31" 38.8 40.3 38.8 40 394600 37.95
"2012-09-03" 40.3 41.2 40.3 40.85 455700 38.76
"2012-09-04" 40.49 40.49 39.7 39.7 556200 37.66
"2012-09-05" 39.95 40.2 39.6 40.19 191700 38.13
"2012-09-06" 40.19 40.68 39.86 40.25 53700 38.19
"2012-09-07" 40.5 42 40.25 40.92 229700 38.82
"2012-09-10" 41.38 42.5 41.32 41.8 269900 39.66
"2012-09-11" 41.8 41.8 41.5 41.5 32400 39.37
"2012-09-12" 41.5 42.21 40.33 41.1 80100 38.99
"2012-09-13" 40.31 40.76 39.91 40.76 269000 38.67
"2012-09-14" 41.14 41.47 40.4 40.95 212200 38.85
"2012-09-17" 41 41 39.17 39.35 371800 37.33
"2012-09-18" 39.03 39.11 37 37.42 1078300 35.5
"2012-09-19" 37.98 38 37.4 37.6 346400 35.67
"2012-09-20" 37.6 38.8 37.6 38.2 349200 36.24
"2012-09-21" 38.3 39.8 38.3 39.6 436800 37.57
"2012-09-24" 39.63 39.7 38.85 39.05 187700 37.05
"2012-09-25" 39.05 40 38.5 40 130700 37.95
"2012-09-26" 40 40 39.15 39.6 156300 37.57
"2012-09-27" 39.1 39.98 39 39 232500 37
"2012-09-28" 39.07 39.43 38.4 39.4 197600 37.38
"2012-10-01" 39.4 39.4 39 39.1 211500 37.09
"2012-10-02" 39.3 39.4 38.54 39.16 72700 37.15
"2012-10-03" 39.49 39.49 38.6 38.6 26000 36.62
"2012-10-04" 38.6 39 38.38 38.5 53000 36.53
"2012-10-05" 38.5 39.2 38.5 38.65 74700 36.67
"2012-10-08" 38.65 39 38.4 38.4 307200 36.43
"2012-10-09" 38.4 38.5 38 38 27500 36.05
"2012-10-10" 38 38.5 38 38.5 36500 36.53
"2012-10-11" 38.6 38.6 37.7 38.2 36600 36.24
"2012-10-12" 38.5 38.5 38.2 38.5 7600 36.53
"2012-10-15" 38.2 38.9 38.01 38.45 116800 36.48
"2012-10-16" 38.48 38.5 38.39 38.4 33500 36.43
"2012-10-17" 38.5 38.5 38.09 38.48 7100 36.51
"2012-10-18" 38.65 38.89 38.49 38.5 135300 36.53
"2012-10-19" 38.27 38.5 38.27 38.4 86300 36.43
"2012-10-22" 38.12 38.49 38.12 38.4 317700 36.43
"2012-10-23" 38.47 38.49 38.03 38.49 78600 36.52
"2012-10-24" 38.03 38.47 38.03 38.45 78600 36.48
"2012-10-25" 38.45 38.45 38.14 38.3 39600 36.34
"2012-10-26" 38.3 38.59 38.16 38.59 44800 36.61
"2012-10-29" 38.6 39.15 38.47 39.04 400300 37.04
"2012-10-31" 38.99 38.99 38.99 38.99 0 36.99
"2012-11-01" 38.99 38.99 38.99 38.99 0 36.99
"2012-11-02" 39.03 39.03 38.63 39 717800 37
"2012-11-05" 39.1 39.25 38.5 39 175800 37
"2012-11-06" 38.3 38.72 38.3 38.6 23100 36.62
"2012-11-07" 38.4 38.89 38.4 38.8 139400 36.81
"2012-11-08" 38.84 39.19 38.35 39.19 77700 37.18
"2012-11-09" 39.32 40.79 39.3 40.78 505300 38.69
"2012-11-12" 41 41.61 40.08 41.5 217500 39.37
"2012-11-13" 41.5 41.5 41.2 41.5 71000 39.37
"2012-11-14" 41 41.4 40.57 40.99 37900 38.89
"2012-11-15" 40.3 40.98 40.3 40.6 322400 38.52
"2012-11-16" 40.16 40.92 40.16 40.35 30300 38.28
"2012-11-19" 40.35 40.55 40.34 40.45 86500 38.38
"2012-11-20" 40.5 40.92 40.27 40.44 123800 38.37
"2012-11-21" 40.41 41.15 40.41 41.15 52300 39.04
"2012-11-22" 41.3 42 41.15 42 122000 39.85
"2012-11-23" 41.75 42 40.87 41.6 344100 39.47
"2012-11-26" 41.5 41.96 41.24 41.81 81500 39.67
"2012-11-27" 41.85 41.95 38.71 38.71 28500 36.72
"2012-11-28" 41 41.5 40.54 41.4 88300 39.28
"2012-11-29" 41.47 43.7 41.47 43.7 438500 41.46
"2012-11-30" 43.5 44 42.66 43.9 377300 41.65
"2012-12-03" 44.02 44.99 43.55 44.25 231000 41.98
"2012-12-04" 44.9 45.8 44.4 45.8 104000 43.45
"2012-12-05" 45.48 46.6 45.44 46.5 257400 44.12
"2012-12-06" 46.66 46.85 45.5 46 111500 43.64
"2012-12-07" 45.5 49 45.01 47 345300 44.59
"2012-12-10" 47 48.18 45.8 45.8 330500 43.45
"2012-12-11" 45.8 45.8 45.8 45.8 0 43.45
"2012-12-12" 46.3 46.3 45.01 45.5 263200 43.17
"2012-12-13" 45.18 45.8 45.18 45.72 92700 43.38
"2012-12-14" 45.22 45.12 45.68 45.4 143900 43.07
"2012-12-17" 45.95 45.55 46.5 46.45 93900 44.07
"2012-12-18" 46.55 46.9 46 46.16 131500 43.79
"2012-12-19" 46.63 47 46.04 46.5 112400 44.12
"2012-12-20" 46.45 46.94 46.09 46.6 81000 44.21
"2012-12-21" 46.21 46.5 45.5 46.2 215200 43.83
"2012-12-24" 46.2 46.2 46.2 46.2 0 43.83
"2012-12-25" 46.2 46.2 46.2 46.2 0 43.83
"2012-12-26" 46.2 46.2 46.2 46.2 0 43.83
"2012-12-27" 45.6 46.18 44.96 44.96 34400 42.65
"2012-12-28" 45.48 45.48 43.13 43.7 475000 41.46
"2012-12-31" 43.7 43.7 43.7 43.7 0 41.46
"2013-01-01" 43.7 43.7 43.7 43.7 0 41.46
