"FXC.Open" "FXC.High" "FXC.Low" "FXC.Close" "FXC.Volume" "FXC.Adjusted"
"2009-06-24" 87.379997 87.400002 86.400002 86.639999 277800 85.997518
"2009-06-25" 86.220001 86.550003 85.900002 86.379997 266400 85.739444
"2009-06-26" 86.68 87.010002 86.349998 86.589996 215700 85.947885
"2009-06-29" 86.5 86.540001 86.099998 86.339996 152000 85.699739
"2009-06-30" 86.32 86.400002 85.760002 85.849998 171700 85.213375
"2009-07-01" 87.110001 87.330002 86.849998 86.919998 347000 86.27544
"2009-07-02" 86.510002 86.510002 85.879997 85.919998 226200 85.282856
"2009-07-06" 85.860001 86.199997 85.660004 86.160004 246900 85.521081
"2009-07-07" 86.169998 86.25 85.540001 85.610001 322500 84.975157
"2009-07-08" 85.959999 86.120003 85.18 85.540001 259900 84.905676
"2009-07-09" 86.190002 86.300003 85.779999 85.959999 91200 85.32256
"2009-07-10" 85.720001 86 85.660004 85.739998 64900 85.10419
"2009-07-13" 85.919998 86.769997 85.660004 86.699997 75300 86.05707
"2009-07-14" 87.529999 88.019997 87.419998 87.889999 148200 87.238248
"2009-07-15" 89.029999 89.830002 88.949997 89.599998 295300 88.935567
"2009-07-16" 89.339996 89.43 89.099998 89.379997 148700 88.717197
"2009-07-17" 89.629997 89.629997 89.300003 89.459999 134800 88.796606
"2009-07-20" 90.339996 90.360001 90.019997 90.199997 231300 89.531116
"2009-07-21" 90.970001 90.970001 89.830002 90.199997 197700 89.531116
"2009-07-22" 90.32 91.110001 90.32 90.900002 97500 90.22593
"2009-07-23" 90.779999 92.080002 90.779999 91.889999 188800 91.208586
"2009-07-24" 92.25 92.480003 92.010002 92.25 117100 91.565917
"2009-07-27" 92.339996 92.5 92.089996 92.360001 88300 91.675102
"2009-07-28" 92.279999 92.360001 91.510002 92.220001 174900 91.536141
"2009-07-29" 92.07 92.129997 91.32 91.519997 139800 90.841327
"2009-07-30" 92.230003 92.400002 91.989998 92.120003 112700 91.436884
"2009-07-31" 92.209999 92.730003 92.120003 92.699997 158800 92.012577
"2009-08-03" 93.519997 93.800003 93.410004 93.650002 183000 92.955537
"2009-08-04" 93.360001 93.57 92.730003 92.940002 249800 92.250803
"2009-08-05" 92.980003 93.410004 92.629997 93.32 184500 92.627982
"2009-08-06" 93.199997 93.269997 92.43 92.709999 121600 92.022505
"2009-08-07" 92.269997 92.480003 91.879997 92.209999 192600 91.526213
"2009-08-10" 92.089996 92.220001 91.349998 91.68 276700 91.000144
"2009-08-11" 90.639999 90.879997 90.339996 90.610001 287900 89.938079
"2009-08-12" 90.629997 92 90.629997 91.75 215500 91.069625
"2009-08-13" 92.059998 92.099998 91.510002 91.620003 78300 90.940592
"2009-08-14" 92.290001 92.290001 90.559998 90.779999 141600 90.106817
"2009-08-17" 90.169998 90.419998 89.75 90.120003 155400 89.451715
"2009-08-18" 89.989998 90.730003 89.940002 90.589996 76900 89.918223
"2009-08-19" 89.93 91.199997 89.93 91.120003 66500 90.444299
"2009-08-20" 90.879997 91.860001 90.82 91.800003 67500 91.119257
